time,x,y,vx,vy,speed,theta,omega,mass,fuel,thrust,throttle,dynamic_pressure,altitude,downrange
0.01,2.8328147526914626e-28,0.0,1.1331258930582158e-25,0.0,1.1331258930582158e-25,1.5707963267948966,1.7312888354460807e-24,10000.0,9000.0,0.0,0.0,7.864342523303749e-51,0.0,2.8328147526914626e-28
0.060000000000000005,1.8696577247488113e-26,0.0,6.798755358349295e-25,0.0,6.798755358349295e-25,1.5707963267948966,1.0387733012676484e-23,10000.0,9000.0,0.0,0.0,2.8311633083893494e-49,0.0,1.8696577247488113e-26
0.11999999999999998,7.8185686645072e-26,0.0,1.359751071669859e-24,0.0,1.359751071669859e-24,1.5707963267948966,2.0775466025352975e-23,10000.0,9000.0,0.0,0.0,1.1324653233557398e-48,0.0,7.8185686645072e-26
0.17,1.5892090653549286e-25,0.0,1.926314018198967e-24,0.0,1.926314018198967e-24,1.5707963267948966,2.9431910202583386e-23,10000.0,9000.0,0.0,0.0,2.2727949892347837e-48,0.0,1.5892090653549286e-25
0.22000000000000006,2.6798427375236917e-25,0.0,2.492876964728076e-24,0.0,2.492876964728076e-24,1.5707963267948966,3.8088354379813797e-23,10000.0,9000.0,0.0,0.0,3.806341781279017e-48,0.0,2.6798427375236917e-25
0.2700000000000001,4.0537578829570093e-25,0.0,3.0594399112571847e-24,0.0,3.0594399112571847e-24,1.5707963267948966,4.674479855704421e-23,10000.0,9000.0,0.0,0.0,5.73310569948844e-48,0.0,4.0537578829570093e-25
0.3200000000000001,5.71095450165488e-25,0.0,3.6260028577862936e-24,0.0,3.6260028577862936e-24,1.5707963267948966,5.540124273427462e-23,10000.0,9000.0,0.0,0.0,8.053086743863052e-48,0.0,5.71095450165488e-25
0.37000000000000016,7.651432593617306e-25,0.0,4.1925658043154024e-24,0.0,4.1925658043154024e-24,1.5707963267948966,6.405768691150503e-23,10000.0,9000.0,0.0,0.0,1.0766284914402851e-47,0.0,7.651432593617306e-25
0.4200000000000002,9.875192158844286e-25,0.0,4.759128750844511e-24,0.0,4.759128750844511e-24,1.5707963267948966,7.271413108873544e-23,10000.0,9000.0,0.0,0.0,1.3872700211107838e-47,0.0,9.875192158844286e-25
0.47000000000000025,1.2382233197335824e-24,0.0,5.32569169737362e-24,0.0,5.32569169737362e-24,1.5707963267948966,8.137057526596585e-23,10000.0,9000.0,0.0,0.0,1.7372332633978016e-47,0.0,1.2382233197335824e-24
0.5300000000000002,1.5764613988234878e-24,0.0,6.005567233208551e-24,0.0,6.005567233208551e-24,1.5707963267948966,9.175830827864235e-23,10000.0,9000.0,0.0,0.0,2.209093814796028e-47,0.0,1.5764613988234878e-24
0.5800000000000003,1.8894874267908438e-24,0.0,6.5721301797376595e-24,0.0,6.5721301797376595e-24,1.5707963267948966,1.0041475245587276e-22,10000.0,9000.0,0.0,0.0,2.645564824839387e-47,0.0,1.8894874267908438e-24
0.6300000000000003,2.2308416020846553e-24,0.0,7.138693126266765e-24,0.0,7.138693126266765e-24,1.5707963267948966,1.0907119663310314e-22,10000.0,9000.0,0.0,0.0,3.1213575474992615e-47,0.0,2.2308416020846553e-24
0.6800000000000004,2.600523924704922e-24,0.0,7.70525607279587e-24,0.0,7.70525607279587e-24,1.5707963267948966,1.177276408103335e-22,10000.0,9000.0,0.0,0.0,3.6364719827756554e-47,0.0,2.600523924704922e-24
0.7300000000000004,2.998534394651644e-24,0.0,8.271819019324975e-24,0.0,8.271819019324975e-24,1.5707963267948966,1.2638408498756385e-22,10000.0,9000.0,0.0,0.0,4.1909081306685664e-47,0.0,2.998534394651644e-24
