time,x,y,vx,vy,speed,theta,omega,mass,fuel,thrust,throttle,dynamic_pressure,altitude,downrange,gimbal,g_local,rho
0.01,1.2590287888732051e-28,0.0,5.036115139654066e-26,0.0,5.036115139654066e-26,1.5707963267948966,8.953093581607229e-27,22500.0,20000.0,0.0,0.0,1.55345041161599e-51,0.0,1.2590287888732051e-28,0.0,9.80665,1.225
0.060000000000000005,8.309589982805023e-27,0.0,3.0216690837924395e-25,0.0,3.0216690837924395e-25,1.5707963267948966,5.371856148964337e-26,22500.0,20000.0,0.0,0.0,5.592421481817563e-50,0.0,8.309589982805023e-27,0.0,9.80665,1.225
0.11999999999999998,3.4749194468364686e-26,0.0,6.04333816758488e-25,0.0,6.04333816758488e-25,1.5707963267948966,1.0743712297928672e-25,22500.0,20000.0,0.0,0.0,2.2369685927270257e-49,0.0,3.4749194468364686e-26,0.0,9.80665,1.225
0.17,7.063151484037976e-26,0.0,8.561395737411914e-25,0.0,8.561395737411914e-25,1.5707963267948966,1.5220259088732284e-25,22500.0,20000.0,0.0,0.0,4.489471689570212e-49,0.0,7.063151484037976e-26,0.0,9.80665,1.225
0.22000000000000006,1.1910412306153e-25,0.0,1.1079453307238944e-24,0.0,1.1079453307238944e-24,1.5707963267948966,1.9696805879535897e-25,22500.0,20000.0,0.0,0.0,7.51869999222139e-49,0.0,1.1910412306153e-25,0.0,9.80665,1.225
0.2700000000000001,1.8016701913181536e-25,0.0,1.3597510877065974e-24,0.0,1.3597510877065974e-24,1.5707963267948966,2.417335267033951e-25,22500.0,20000.0,0.0,0.0,1.132465350068056e-48,0.0,1.8016701913181536e-25,0.0,9.80665,1.225
0.3200000000000001,2.538202030512359e-25,0.0,1.6115568446893004e-24,0.0,1.6115568446893004e-24,1.5707963267948966,2.8649899461143124e-25,22500.0,20000.0,0.0,0.0,1.590733221494772e-48,0.0,2.538202030512359e-25,0.0,9.80665,1.225
0.37000000000000016,3.400636748197916e-25,0.0,1.8633626016720044e-24,0.0,1.8633626016720044e-24,1.5707963267948966,3.3126446251946736e-25,22500.0,20000.0,0.0,0.0,2.12667361350229e-48,0.0,3.400636748197916e-25,0.0,9.80665,1.225
0.4200000000000002,4.3889743443748255e-25,0.0,2.1151683586547083e-24,0.0,2.1151683586547083e-24,1.5707963267948966,3.760299304275035e-25,22500.0,20000.0,0.0,0.0,2.740286526090608e-48,0.0,4.3889743443748255e-25,0.0,9.80665,1.225
0.47000000000000025,5.503214819043087e-25,0.0,2.3669741156374123e-24,0.0,2.3669741156374123e-24,1.5707963267948966,4.2079539833553965e-25,22500.0,20000.0,0.0,0.0,3.4315719592597253e-48,0.0,5.503214819043087e-25,0.0,9.80665,1.225
0.5300000000000002,7.006495188253584e-25,0.0,2.669141024016657e-24,0.0,2.669141024016657e-24,1.5707963267948966,4.74513959825183e-25,22500.0,20000.0,0.0,0.0,4.363642206229322e-48,0.0,7.006495188253584e-25,0.0,9.80665,1.225
0.5800000000000003,8.39772199560282e-25,0.0,2.920946780999361e-24,0.0,2.920946780999361e-24,1.5707963267948966,5.192794277332191e-25,22500.0,20000.0,0.0,0.0,5.225807184676199e-48,0.0,8.39772199560282e-25,0.0,9.80665,1.225
0.6300000000000003,9.914851681443408e-25,0.0,3.172752537982065e-24,0.0,3.172752537982065e-24,1.5707963267948966,5.6404489564125525e-25,22500.0,20000.0,0.0,0.0,6.165644683703876e-48,0.0,9.914851681443408e-25,0.0,9.80665,1.225
0.6800000000000004,1.1557884245775347e-24,0.0,3.424558294964768e-24,0.0,3.424558294964768e-24,1.5707963267948966,6.088103635492914e-25,22500.0,20000.0,0.0,0.0,7.183154703312348e-48,0.0,1.1557884245775347e-24,0.0,9.80665,1.225
0.7300000000000004,1.3326819688598637e-24,0.0,3.67636405194747e-24,0.0,3.67636405194747e-24,1.5707963267948966,6.535758314573275e-25,22500.0,20000.0,0.0,0.0,8.278337243501617e-48,0.0,1.3326819688598637e-24,0.0,9.80665,1.225
0.7800000000000005,1.522165800991328e-24,0.0,3.928169808930172e-24,0.0,3.928169808930172e-24,1.5707963267948966,6.983412993653636e-25,22500.0,20000.0,0.0,0.0,9.451192304271684e-48,0.0,1.522165800991328e-24,0.0,9.80665,1.225
0.8300000000000005,1.724239920971927e-24,0.0,4.179975565912874e-24,0.0,4.179975565912874e-24,1.5707963267948966,7.431067672733997e-25,22500.0,20000.0,0.0,0.0,1.0701719885622549e-47,0.0,1.724239920971927e-24,0.0,9.80665,1.225
0.8800000000000006,1.9389043288016614e-24,0.0,4.431781322895576e-24,0.0,4.431781322895576e-24,1.5707963267948966,7.878722351814359e-25,22500.0,20000.0,0.0,0.0,1.2029919987554216e-47,0.0,1.9389043288016614e-24,0.0,9.80665,1.225
0.9300000000000006,2.1661590244805312e-24,0.0,4.683587079878278e-24,0.0,4.683587079878278e-24,1.5707963267948966,8.32637703089472e-25,22500.0,20000.0,0.0,0.0,1.3435792610066678e-47,0.0,2.1661590244805312e-24,0.0,9.80665,1.225
