time,vehicle_id,x,y,vx,vy,speed,theta,omega,mass,fuel,thrust,throttle,dynamic_pressure,altitude,downrange,gimbal
143.0100000000149,upper,7913.205450127693,40087.728134793106,265.36194673869,824.7119274766687,866.3525414629021,1.2807972912019674,-0.004223068238067996,9200.0,8000.0,0.0,0.0,4114.095109421121,40087.728134793106,7913.205450127693,0.0
143.1200000000148,upper,7942.394094871771,40178.38406809115,265.3407269473695,823.577926136865,865.2666073510858,1.2802484298159054,-0.005750827617802082,9200.0,8000.0,0.0,0.0,4060.2519268183423,40178.38406809115,7942.394094871771,0.0
143.2300000000147,upper,7971.580419197224,40268.91531290902,265.3197564529034,822.444862056506,864.1817657688533,1.2795335028792074,-0.007240600568329112,9200.0,8000.0,0.0,0.0,4007.1697067491814,40268.91531290902,7971.580419197224,0.0
143.3400000000146,upper,8000.764450239806,40359.321971643716,265.2990299937977,821.312722537135,863.0980034254574,1.2786572824709934,-0.00868172447499291,9200.0,8000.0,0.0,0.0,3954.836855998139,40359.321971643716,8000.764450239806,0.0
143.4500000000145,upper,8029.946214538702,40449.60414531504,265.27854195973015,820.1814952453443,862.0153072696385,1.277625669880847,-0.01006433876506846,9200.0,8000.0,0.0,0.0,3903.241972824839,40449.60414531504,8029.946214538702,0.0
143.5600000000144,upper,8059.125737990628,40539.7619336083,265.2582862615027,819.0511682575321,860.9336644912995,1.2764456049624577,-0.011379427231589898,9200.0,8000.0,0.0,0.0,3852.3738435375217,40539.7619336083,8059.125737990628,0.0
143.6700000000143,upper,8088.303045791909,40629.79543492129,265.2382562429106,817.9217300918579,859.8530625236139,1.275124971388218,-0.012618850303862674,9200.0,8000.0,0.0,0.0,3802.2214391346783,40629.79543492129,8088.303045791909,0.0
143.7800000000142,upper,8117.478162373223,40719.70474641398,265.21844463510615,816.7931697270303,858.7734890455074,1.2736724988875578,-0.013775367694995322,9200.0,8000.0,0.0,0.0,3752.7739120134156,40719.70474641398,8117.478162373223,0.0
143.8900000000141,upper,8146.651111331603,40809.489964059685,265.19884355240674,815.6654766079297,857.6949319843128,1.2720976635011716,-0.014842651914713864,9200.0,8000.0,0.0,0.0,3704.0205927419725,40809.489964059685,8146.651111331603,0.0
144.000000000014,upper,8175.821915364153,40899.151182696005,265.17944452706064,814.5386406383947,856.6173795182563,1.2704105868268782,-0.015815293183218143,9200.0,8000.0,0.0,0.0,3655.9509868926616,40899.151182696005,8175.821915364153,0.0
144.1100000000139,upper,8204.990596207575,40988.68849607437,265.1602385792734,813.4126521618207,855.5408200783551,1.2686219351717578,-0.01668879631956342,9200.0,8000.0,0.0,0.0,3608.554771931238,40988.68849607437,8204.990596207575,0.0
